Neighborhood,Per Capita Income
Boston,"44690"
Allston,"34149"
Back Bay,"110677"
Beacon Hill,"100005"
Brighton,"41261"
Charlestown,"75339"
Dorchester,"29767"
Downtown,"80057"
East Boston,"31473"
Fenway,"28021"
Hyde Park,"32744"
Jamaica Plain,"51655"
Longwood,"7975"
Mattapan,"28356"
Mission Hill,"23446"
North End,"89696"
Roslindale,"41252"
Roxbury,"20978"
South Boston,"64745"
South Boston Waterfront,"129651"
South End,"83609"
West End,"77069"
West Roxbury,"47836"
